id;dict_sort;dict_label;dict_value;dict_type;css_class;list_class;is_default;status;create_by;create_time;update_by;up_local_date;remark
1;Gloves Advanced synthesize;Belize;Frozen;synergies;Function-based Auto Loan Account;calculating Kentucky;human-resource Investment Account;superstructure;Markets;2021-08-16;Rustic Wooden Hat;2021-08-16;../fake-data/blob/hipster.txt
2;brand;lime;secondary SMTP Central;Costa Rica;navigate bypassing connecting;transmitting Global Sleek Wooden Bacon;cross-platform;Minnesota;back up Accountability;2021-08-16;Car e-markets;2021-08-16;../fake-data/blob/hipster.txt
3;Home Alabama distributed;B2C solutions Public-key;Tasty Cotton Salad Implementation quantifying;paradigm District Tactics;Customizable invoice;Chair Configuration;intuitive Corporate;array;Bedfordshire Michigan invoice;2021-08-16;black open architecture;2021-08-16;../fake-data/blob/hipster.txt
4;Bond Markets Units European Composite Unit (EURCO);Refined Soft Fish Horizontal;Architect;robust Cotton;hierarchy;Kina portals;Generic;Rubber EXE;index;2021-08-16;Ergonomic Wooden Towels feed;2021-08-16;../fake-data/blob/hipster.txt
5;connect;firewall;Incredible Rubber Shoes Plaza;Shirt;Plastic Marketing Centralized;panel;generate customized Minnesota;Refined;Computer bleeding-edge microchip;2021-08-16;connect expedite Walk;2021-08-17;../fake-data/blob/hipster.txt
6;bypassing Granite;Beauty Bahraini Dinar;Metal Books;syndicate Front-line e-commerce;New Jersey International Metal;mesh model Uzbekistan;Integrated Berkshire HDD;Lempira navigating District;synthesizing human-resource;2021-08-16;Jewelery;2021-08-16;../fake-data/blob/hipster.txt
7;Program Internal Gorgeous;frictionless;Montana Intelligent Soft Fish Cotton;applications transmitting compressing;Functionality;evolve Fish Corporate;optimizing;Square Credit Card Account SMTP;multi-tasking;2021-08-16;Money Market Account feed USB;2021-08-16;../fake-data/blob/hipster.txt
8;bluetooth Program visualize;invoice;virtual Gorgeous Soft Bacon;Turnpike Fantastic;Strategist JSON;bottom-line;Assurance;haptic Incredible Wooden;leading-edge;2021-08-16;evolve;2021-08-16;../fake-data/blob/hipster.txt
9;Berkshire 1080p;encompassing Cambridgeshire;Dynamic;toolset Grass-roots Bedfordshire;holistic;Virgin Islands, U.S.;magenta Central;Home Loan Account Generic;Money Market Account New Hampshire;2021-08-16;Cambridgeshire Personal Loan Account sensor;2021-08-16;../fake-data/blob/hipster.txt
10;Infrastructure;protocol invoice;moderator Computers;Refined Avon Mobility;XML iterate backing up;Intelligent Cotton Towels engage paradigm;Mount Compatible Handcrafted Granite Fish;Concrete North Dakota communities;evolve Savings Account Lithuanian Litas;2021-08-16;Frozen Corporate;2021-08-16;../fake-data/blob/hipster.txt
