id;dict_name;dict_type;status;create_by;create_time;update_by;up_local_date;remark
1;motivating Credit Card Account;Junction Fantastic Plastic Pants firewall;withdrawal Rustic Metal Gloves;Incredible Granite Car;2021-08-17;Internal;2021-08-16;../fake-data/blob/hipster.txt
2;Games;Plastic Corporate;approach Borders Texas;sensor;2021-08-16;Coordinator;2021-08-17;../fake-data/blob/hipster.txt
3;orange intranet;programming;internet solution Costa Rican Colon;e-business;2021-08-17;Electronics deploy Handcrafted Frozen Chicken;2021-08-17;../fake-data/blob/hipster.txt
4;microchip;green;Ergonomic;Creative SDD;2021-08-17;client-server withdrawal;2021-08-16;../fake-data/blob/hipster.txt
5;Iowa;calculating;Games;payment;2021-08-17;Outdoors;2021-08-16;../fake-data/blob/hipster.txt
6;embrace;synthesizing synergize;parsing;Tugrik microchip Producer;2021-08-17;back up incremental Checking Account;2021-08-16;../fake-data/blob/hipster.txt
7;Architect Pizza;Sleek;Practical Fresh Table Concrete Regional;interfaces hard drive system;2021-08-16;Sleek Rubber Pants User-centric;2021-08-16;../fake-data/blob/hipster.txt
8;back-end;generating Refined Frozen Pants;leverage strategize;optical Buckinghamshire;2021-08-16;withdrawal Investor port;2021-08-16;../fake-data/blob/hipster.txt
9;Tonga hacking;Generic Fresh Towels;Morocco;Salad Toys;2021-08-16;Fresh middleware Soft;2021-08-16;../fake-data/blob/hipster.txt
10;national Credit Card Account;Pound Sterling;virtual FTP index;brand;2021-08-17;dynamic TCP;2021-08-16;../fake-data/blob/hipster.txt
