id;table_id;column_name;column_comment;column_type;java_type;java_field;is_pk;is_increment;is_required;is_insert;is_edit;is_list;is_query;html_type;dict_type;sort;create_by;create_time;update_by;up_local_date;remark
1;Regional;Tennessee auxiliary;Synchronised Home Loan Account;Licensed Granite Chicken Forward Creek;Product;synthesizing transparent azure;Web Chief CSS;Practical;Concrete red;engage Tasty Metal Bacon Analyst;impactful;Avon Summit;Lead;Facilitator;black;78916;Rustic Plastic Gloves Executive;2021-08-15;Iran matrix;2021-08-16;../fake-data/blob/hipster.txt
2;Alley redundant Executive;convergence wireless Mall;synthesize Run;Optimized Islands incentivize;driver;homogeneous;open-source Gorgeous;Rubber Borders Dong;silver bypass;Buckinghamshire;Avon Granite;Future Ameliorated;Investor Sleek Fresh Tuna;Auto Loan Account;Product;82024;compress indigo JSON;2021-08-16;Savings Account Intelligent Wooden Keyboard efficient;2021-08-16;../fake-data/blob/hipster.txt
3;Specialist hack ADP;Soft;Plaza Bosnia and Herzegovina synergize;Licensed Steel Gloves;Checking Account;Credit Card Account Incredible;Dynamic Land backing up;Granite port digital;invoice;Computers Cambridgeshire;portals;Plain;bypass;bleeding-edge;Developer;47649;Concrete quantifying Berkshire;2021-08-15;analyzer Seychelles bypassing;2021-08-16;../fake-data/blob/hipster.txt
4;Checking Account Wooden Metal;alliance Ways;Nigeria knowledge user;Oregon Directives Macao;firewall Facilitator;portals Hat portals;bluetooth;fresh-thinking Sports;Designer Orchard Home Loan Account;Ergonomic application;orange;Home Developer;index B2B synthesizing;Orchestrator;Movies synthesize;6069;Minnesota Handcrafted deposit;2021-08-16;driver;2021-08-15;../fake-data/blob/hipster.txt
5;Garden payment capacitor;Orchestrator utilize cyan;Intelligent Concrete Car payment facilitate;synergistic Investment Account;Robust grey invoice;deposit;Incredible Maryland;Generic Ecuador;Louisiana;payment Ergonomic Clothing;Lead Handmade Fresh Soap magnetic;Generic Soft Bike;Dynamic Pass synthesize;bandwidth;24/7;3421;paradigm Uruguay;2021-08-16;Assistant Swaziland deliver;2021-08-15;../fake-data/blob/hipster.txt
6;connect;magenta;Maine Frozen Berkshire;Garden Serbia;Tanzania PCI neural;bi-directional;homogeneous;Operations;Mouse CSS;initiatives;invoice;Proactive TCP Regional;models transmit digital;payment compressing Future;Universal local;16471;sexy;2021-08-16;PNG;2021-08-15;../fake-data/blob/hipster.txt
7;withdrawal flexibility;Buckinghamshire;Incredible Awesome;Salad;HTTP;Division Generic Fresh Towels deposit;viral New Caledonia attitude;Research Concrete Developer;white;El Salvador;Slovenia;redundant Shoal;Tools Chicken;cross-platform;Gorgeous facilitate;43278;Operations;2021-08-15;Home;2021-08-15;../fake-data/blob/hipster.txt
8;Handcrafted Intelligent Granite Bike;Internal killer Kansas;next-generation;implementation Chief Granite;Montana;customized e-enable Gourde US Dollar;Garden;Forward Cambridgeshire approach;copying;calculating Rial Omani;Zloty Handmade Granite Chicken Metal;Norway Personal Loan Account;Garden;collaborative quantify International;transmitter;76475;indigo;2021-08-16;alarm Principal;2021-08-15;../fake-data/blob/hipster.txt
9;panel;Virginia Sports;Consultant Ergonomic Steel;web services;Belarus;Samoa;HTTP;Officer Jewelery;Automated;Oval Florida bluetooth;Integration applications;Fantastic Concrete Sausages;Generic driver User-friendly;exploit Corporate;driver;34321;Fish;2021-08-15;architecture array;2021-08-16;../fake-data/blob/hipster.txt
10;Rubber Granite Buckinghamshire;solid state;Arkansas Malawi deposit;copy Tools;maroon program;Lock;Books;Practical;index Key;AI Accountability;Mountain;paradigms Assistant;support Nigeria;Intelligent back-end;turquoise redundant;44084;Rustic Money Market Account;2021-08-16;Internal Avon;2021-08-16;../fake-data/blob/hipster.txt
