id;user_name;ip_addr;login_location;browser;os;status;msg;login_time
1;National;Personal Loan Account Russian Ruble Intelligent;CSS;seize Wooden killer;zero defect Integration;Cambridgeshire West Virginia;Avon platforms;2021-08-15
2;Credit Card Account Ergonomic;JSON Plastic Open-source;Plastic black Lebanese Pound;reboot Metal Intranet;Malta;real-time Paradigm;American Samoa Books Licensed;2021-08-16
3;Sudanese Pound Garden;Ouguiya Massachusetts;Salad;ability Handmade Division;SMTP;overriding;reboot;2021-08-16
4;Computer initiative Texas;Soft Optional;panel Specialist Principal;Fantastic Wooden Sausages protocol Louisiana;pixel collaborative Afghanistan;Sleek ivory Games;Synchronised secured line Games;2021-08-16
5;Plastic auxiliary circuit;user-centric;Frozen;violet Intelligent invoice;New Hampshire Loop engage;Bermudian Dollar (customarily known as Bermuda Dollar) e-services Agent;Practical Congolese Franc Response;2021-08-15
6;Saint Helena Versatile generating;Fantastic Cross-platform Auto Loan Account;functionalities Grocery Internal;enable Kazakhstan;Innovative deposit JBOD;Sausages Home Loan Account;initiatives mobile harness;2021-08-16
7;hard drive yellow Personal Loan Account;Markets plum Principal;tan Reactive;Trace;Guernsey Credit Card Account;Island;Configuration;2021-08-15
8;Kwanza Electronics complexity;fault-tolerant Credit Card Account Ball;FTP demand-driven input;Mobility;synthesize;backing up;Fresh Paradigm;2021-08-16
9;database;Movies Bike;invoice Awesome Wooden Ball;sky blue;RSS;incubate Licensed;Rubber;2021-08-16
10;Planner;Wisconsin Guinea Rupiah;Re-contextualized;Multi-layered copying Hills;Forward Awesome;Cliff initiatives calculate;seize Saint Helena;2021-08-15
