id;title;business_type;method;request_method;operator_type;oper_name;dept_name;oper_url;oper_ip;oper_location;oper_param;json_result;status;error_msg;oper_time
1;COM;93451;Grocery;auxiliary;13401;monetize Consultant;Coordinator;harness Fantastic Soft Computer;Austria Versatile;harness Buckinghamshire composite;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;31390;../fake-data/blob/hipster.txt;2021-08-15
2;Concrete Reunion orchid;68907;morph;e-commerce bleeding-edge Chief;13174;Avon IB Rial Omani;benchmark reboot encryption;Metal Savings Account;grid-enabled India;Berkshire Incredible Granite Sausages killer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;46487;../fake-data/blob/hipster.txt;2021-08-15
3;Front-line Intelligent Cotton Tuna;67287;silver tan Saint Lucia;Cheese;70485;Tasty Practical Rubber Chips non-volatile;bandwidth Ports empowering;infomediaries input;Buckinghamshire interface;ability;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;33065;../fake-data/blob/hipster.txt;2021-08-15
4;Money Market Account SQL;65231;conglomeration;magenta;39507;attitude panel;Administrator payment;monetize Tuna;bus;Shoes TCP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;12345;../fake-data/blob/hipster.txt;2021-08-15
5;wireless Baby Refined;89676;synergy mobile;Analyst;14804;Plastic Health;ivory Pizza Parkways;Small Steel Keyboard asymmetric;robust Awesome Cotton Cheese Fish;neural-net Yuan Renminbi bus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;33802;../fake-data/blob/hipster.txt;2021-08-15
6;solid state Dominican Peso panel;15152;integrate cross-platform Peso Uruguayo Uruguay Peso en Unidades Indexadas;SDD;69303;task-force Intelligent;seize Kansas mobile;Solutions Indiana invoice;Squares;Corporate Cheese;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;23132;../fake-data/blob/hipster.txt;2021-08-15
7;networks Handmade;63968;productivity;Tugrik bypassing;66038;Alabama Buckinghamshire engineer;Gibraltar Pound Tools Kenya;Profound;incentivize Polarised Automotive;parse Borders;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;22738;../fake-data/blob/hipster.txt;2021-08-16
8;client-server deposit;19697;circuit California Fords;grow;88738;Trinidad and Tobago matrix Namibia;1080p;generating Car Savings Account;green Executive;Indiana New Jersey transform;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;89016;../fake-data/blob/hipster.txt;2021-08-15
9;Specialist;1048;Brooks;Isle;10937;efficient;RSS;Team-oriented;Diverse;Toys red FTP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;75726;../fake-data/blob/hipster.txt;2021-08-15
10;quantifying Cambridgeshire context-sensitive;20194;Table Sleek;Bike Realigned plum;32747;EXE;eco-centric New Caledonia;optical South Carolina;XML;logistical Markets;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;84211;../fake-data/blob/hipster.txt;2021-08-15
