id;role_name;role_key;role_sort;data_scope;menu_check_strictly;dept_check_strictly;status;del_flag;create_by;create_time;update_by;up_local_date;remark
1;Salad Small Wooden Towels;Morocco;33894;Communications Direct;90553;26563;next-generation;intermediate;auxiliary Metrics;2021-08-15;GB Central HDD;2021-08-15;../fake-data/blob/hipster.txt
2;Illinois;Place Shoes Buckinghamshire;10721;Regional drive Granite;21708;34403;back-end;superstructure;Communications;2021-08-16;even-keeled invoice;2021-08-15;../fake-data/blob/hipster.txt
3;Optimization turquoise;visionary;43693;Checking Account Triple-buffered;42499;53708;Missouri red;Cotton Program Accounts;Soft plug-and-play compress;2021-08-15;Money Market Account;2021-08-16;../fake-data/blob/hipster.txt
4;Georgia;Licensed Licensed;48834;override intuitive Senior;31151;54175;motivating Tools Pataca;lime SCSI;Directives Berkshire fault-tolerant;2021-08-15;program;2021-08-16;../fake-data/blob/hipster.txt
5;strategic;Samoa Fish;63284;Games;60690;52959;Danish Krone;PCI panel;bandwidth Borders web-readiness;2021-08-15;Honduras Beauty;2021-08-16;../fake-data/blob/hipster.txt
6;calculating Sleek Shoes;Islands Isle Human;39345;optical;50753;56231;Lari;Jordanian Dinar;Engineer Handcrafted Steel Shirt Plastic;2021-08-16;circuit;2021-08-15;../fake-data/blob/hipster.txt
7;matrices envisioneer Concrete;Handmade Granite Computer Ergonomic District;24939;Administrator Factors indexing;57700;2857;EXE back up lime;back up;knowledge user Gorgeous;2021-08-16;Auto Loan Account Buckinghamshire Rustic Concrete Tuna;2021-08-15;../fake-data/blob/hipster.txt
8;panel Tools Guatemala;compressing Wooden Baby;24753;Advanced GB Games;22614;55931;Coves system-worthy;pink;Hat;2021-08-15;Cheese Avon;2021-08-15;../fake-data/blob/hipster.txt
9;Tactics Hat Personal Loan Account;Mouse silver;23051;web-readiness;2798;11746;Generic Granite Shirt Digitized;payment calculating Outdoors;United Kingdom deposit;2021-08-15;plug-and-play sensor;2021-08-16;../fake-data/blob/hipster.txt
10;mindshare copying;white Burundi Franc;41473;Rustic Soft Table;94196;40598;Somalia Seychelles Rupee microchip;Money Market Account;mesh Robust clicks-and-mortar;2021-08-16;systemic neural Madagascar;2021-08-16;../fake-data/blob/hipster.txt
