id;menu_name;parent_id;order_num;path;components;is_frame;is_cache;menu_type;visible;status;perms;icon;create_by;create_time;update_by;up_local_date;remark
1;Investment Account Group;31684;86807;wireless Gorgeous;Borders Cambridgeshire Savings Account;back-end tan;Cambridgeshire programming;Rustic Steel Soap Harbors Estonia;eco-centric streamline;Toys Berkshire syndicate;deposit Licensed Steel Pants;Savings Account feed;Incredible;2021-08-15;Buckinghamshire Administrator;2021-08-15;../fake-data/blob/hipster.txt
2;Group;92948;59433;even-keeled Garden Administrator;Executive function salmon;payment Investment Account revolutionary;payment Concrete;Yemeni Rial Thailand Personal Loan Account;sensor Branding;vertical PCI;Marketing;distributed;Hryvnia client-server web-readiness;2021-08-15;architect Assistant;2021-08-15;../fake-data/blob/hipster.txt
3;Group;91028;11880;Savings Account;tangible Wooden transmitter;uniform Concrete Dynamic;Solomon Islands Dollar;Ergonomic Rubber Fish Checking Account Implemented;Avon matrix;transmit Shoes Assurance;Integration invoice;Greenland;Music Representative Checking Account;2021-08-16;Assurance Concrete;2021-08-15;../fake-data/blob/hipster.txt
4;Towels Credit Card Account Central;74398;4016;partnerships;Beauty hacking optical;Product Credit Card Account Polarised;synthesizing;deposit haptic markets;bus portals Internal;navigating plug-and-play;RAM fault-tolerant Future;withdrawal orchid;Kentucky Licensed American Samoa;2021-08-15;Open-source;2021-08-15;../fake-data/blob/hipster.txt
5;solid state;23777;21120;Handmade;Berkshire black;Borders;Iowa Investment Account Australian Dollar;Plastic Internal Auto Loan Account;open-source;upward-trending;SAS;Florida Illinois;forecast invoice;2021-08-16;didactic Missouri indigo;2021-08-15;../fake-data/blob/hipster.txt
6;Kids back-end;70865;62026;disintermediate Salad;Kids deliver;Optimization Officer Designer;e-commerce;Personal Loan Account structure;Heights;Incredible Metal Shoes South Carolina;Wooden Bolivia;Borders help-desk PNG;wireless copy solid state;2021-08-16;Infrastructure Directives;2021-08-15;../fake-data/blob/hipster.txt
7;Incredible Metal Tuna virtual;49924;90538;navigating Electronics Refined;withdrawal;optimizing Cuban Peso Peso Convertible Unbranded;SSL International Car;CSS;panel;Awesome Money Market Account;microchip Dynamic;Tasty Granite Car;Assistant Ergonomic Applications;2021-08-15;Direct bleeding-edge solid state;2021-08-16;../fake-data/blob/hipster.txt
8;frictionless withdrawal;29465;356;Exclusive;real-time Berkshire Port;driver SMTP;Baby;HTTP;Officer Berkshire;bluetooth Credit Card Account discrete;visionary;neural-net national;Handcrafted;2021-08-16;alarm bleeding-edge;2021-08-15;../fake-data/blob/hipster.txt
9;synthesize;56291;96609;dot-com monitor Yuan Renminbi;Unbranded demand-driven;Avon override North Carolina;Czech Koruna 4th generation incubate;synergistic backing up;interfaces New York;EXE wireless;calculate Generic Rubber Hat optimize;parsing encoding;Fantastic;2021-08-16;Belarus Cheese Fresh;2021-08-15;../fake-data/blob/hipster.txt
10;open-source;61962;37627;card;Bedfordshire Handmade North Dakota;quantify;cross-platform Personal Loan Account primary;Baby;generate Supervisor;Avon hack panel;1080p Frozen target;e-commerce Infrastructure emulation;payment Gorgeous Metal Chips reboot;2021-08-15;holistic supply-chains;2021-08-15;../fake-data/blob/hipster.txt
