id;notice_title;notice_type;notice_content;status;create_by;create_time;update_by;up_local_date;remark
1;Books Hat;Virginia;Rubber;84798;synergistic;2021-08-16;Dynamic;2021-08-16;../fake-data/blob/hipster.txt
2;Auto Loan Account Vermont;quantify magnetic Auto Loan Account;Connecticut Credit Card Account;83255;architectures;2021-08-16;index CSS Avon;2021-08-17;../fake-data/blob/hipster.txt
3;Checking Account;Towels;Toys Lebanese Pound Markets;33793;Producer hacking zero administration;2021-08-16;Ways;2021-08-17;../fake-data/blob/hipster.txt
4;function Phased Checking Account;Divide Georgia;indigo Handmade Rubber Car;12749;redundant Radial;2021-08-16;Pants;2021-08-16;../fake-data/blob/hipster.txt
5;Belize hack;Practical;South Carolina;49744;JSON invoice;2021-08-16;driver;2021-08-16;../fake-data/blob/hipster.txt
6;e-tailers Cameroon Tunnel;Gloves;back-end white upward-trending;45997;revolutionize Berkshire;2021-08-16;Small Rubber Chair Villages;2021-08-16;../fake-data/blob/hipster.txt
7;compelling Unbranded Soft Tuna Officer;Integrated background Functionality;Auto Loan Account compress;47405;Personal Loan Account;2021-08-16;Nepal revolutionize haptic;2021-08-16;../fake-data/blob/hipster.txt
8;SQL artificial intelligence;Portugal Sleek empower;array monitor overriding;11915;deposit;2021-08-16;logistical;2021-08-16;../fake-data/blob/hipster.txt
9;compressing;Moroccan Dirham Nepal;copy deposit payment;68033;monitor SQL National;2021-08-16;B2C payment;2021-08-16;../fake-data/blob/hipster.txt
10;generating payment;Grocery Frozen;clear-thinking;81163;RAM;2021-08-17;deposit;2021-08-16;../fake-data/blob/hipster.txt
